"","ASV","taxon","taxonomic_level","species","genus","family","order","class","phylum","kingdom"
"208","ASV46","Acipenser fulvescens","species","Acipenser fulvescens","Acipenser","Acipenseridae","Acipenseriformes","Actinopteri","Chordata","Eukaryota"
"209","ASV48","Stenobrachius leucopsarus","species","Stenobrachius leucopsarus","Stenobrachius","Myctophidae","Myctophiformes","Actinopteri","Chordata","Eukaryota"
"210","ASV49","Sebastes","genus",NA,"Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"211","ASV5","Acipenser fulvescens","species","Acipenser fulvescens","Acipenser","Acipenseridae","Acipenseriformes","Actinopteri","Chordata","Eukaryota"
"212","ASV50","Hemitripterus bolini","species","Hemitripterus bolini","Hemitripterus","Agonidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"213","ASV51","Microstomus pacificus","species","Microstomus pacificus","Microstomus","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"214","ASV52","Atheresthes","genus",NA,"Atheresthes","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"215","ASV53","Homo sapiens","species","Homo sapiens","Homo","Hominidae","Primates","Mammalia","Chordata","Eukaryota"
"216","ASV54","Bovidae","family",NA,NA,"Bovidae","Artiodactyla","Mammalia","Chordata","Eukaryota"
"217","ASV55","Sebastes","genus",NA,"Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"218","ASV56","Sebastes mystinus","species","Sebastes mystinus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"219","ASV58","Clupea","genus",NA,"Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota"
"220","ASV59","Hippoglossus stenolepis","species","Hippoglossus stenolepis","Hippoglossus","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"221","ASV6","Hippoglossus stenolepis","species","Hippoglossus stenolepis","Hippoglossus","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"222","ASV60","Sebastes","genus",NA,"Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"223","ASV62","Sebastolobus","genus",NA,"Sebastolobus","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"224","ASV63","Sebastes","genus",NA,"Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"225","ASV64","Oncorhynchus","genus",NA,"Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"226","ASV65","Sebastes","genus",NA,"Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"227","ASV66","Sebastes","genus",NA,"Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"228","ASV67","Thaleichthys pacificus","species","Thaleichthys pacificus","Thaleichthys","Osmeridae","Osmeriformes","Actinopteri","Chordata","Eukaryota"
"229","ASV68","Hippoglossus stenolepis","species","Hippoglossus stenolepis","Hippoglossus","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"230","ASV69","Sebastes","genus",NA,"Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"231","ASV7","Atheresthes","genus",NA,"Atheresthes","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"232","ASV70","Macrouridae","family",NA,NA,"Macrouridae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"233","ASV71","Hippoglossus stenolepis","species","Hippoglossus stenolepis","Hippoglossus","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"234","ASV72","Sebastes nigrocinctus","species","Sebastes nigrocinctus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"235","ASV73","Microstomus pacificus","species","Microstomus pacificus","Microstomus","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"236","ASV74","Sebastes","genus",NA,"Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"237","ASV75","Gadus chalcogrammus","species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"238","ASV76","Hydrolagus colliei","species","Hydrolagus colliei","Hydrolagus","Chimaeridae","Chimaeriformes","Chondrichthyes","Chordata","Eukaryota"
"239","ASV77","Microstomus pacificus","species","Microstomus pacificus","Microstomus","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"240","ASV78","Sebastes","genus",NA,"Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"241","ASV79","Clupea pallasii","species","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota"
"242","ASV8","Stenobrachius leucopsarus","species","Stenobrachius leucopsarus","Stenobrachius","Myctophidae","Myctophiformes","Actinopteri","Chordata","Eukaryota"
"243","ASV80","Homo sapiens","species","Homo sapiens","Homo","Hominidae","Primates","Mammalia","Chordata","Eukaryota"
"244","ASV82","Sebastes","genus",NA,"Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"245","ASV83","Hippoglossus stenolepis","species","Hippoglossus stenolepis","Hippoglossus","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"246","ASV84","Sebastes","genus",NA,"Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"247","ASV85","Stenobrachius leucopsarus","species","Stenobrachius leucopsarus","Stenobrachius","Myctophidae","Myctophiformes","Actinopteri","Chordata","Eukaryota"
"248","ASV86","Sebastes","genus",NA,"Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"249","ASV87","Sebastes","genus",NA,"Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"250","ASV88","Sebastes","genus",NA,"Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"251","ASV89","Sebastes","genus",NA,"Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"252","ASV9","Microstomus pacificus","species","Microstomus pacificus","Microstomus","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"253","ASV90","Ammodytes personatus","species","Ammodytes personatus","Ammodytes","Ammodytidae","Uranoscopiformes","Actinopteri","Chordata","Eukaryota"
"254","ASV91","Stenobrachius leucopsarus","species","Stenobrachius leucopsarus","Stenobrachius","Myctophidae","Myctophiformes","Actinopteri","Chordata","Eukaryota"
"255","ASV92","Anoplopoma fimbria","species","Anoplopoma fimbria","Anoplopoma","Anoplopomatidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"256","ASV94","Sebastes","genus",NA,"Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"257","ASV95","Atheresthes","genus",NA,"Atheresthes","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"258","ASV96","Sebastolobus","genus",NA,"Sebastolobus","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"259","ASV97","Atheresthes","genus",NA,"Atheresthes","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"260","ASV98","Stenobrachius","genus",NA,"Stenobrachius","Myctophidae","Myctophiformes","Actinopteri","Chordata","Eukaryota"
"261","ASV99","Stenobrachius leucopsarus","species","Stenobrachius leucopsarus","Stenobrachius","Myctophidae","Myctophiformes","Actinopteri","Chordata","Eukaryota"
